,id,symbol,current_price,market_cap,market_cap_rank,total_volume,Máximo Histórico,Mínimo Histórico,Media 200D
0,bitcoin,btc,29296.0,569969216652,1,"1,800,174,815",69045.0,67.81,27.99
1,ethereum,eth,1837.38,220724226198,2,"3,614,162,832",4878.26,0.43,16.3
2,tether,usdt,0.999218,83345609005,3,"6,012,273,688",1.32,0.57,0.18
5,usd-coin,usdc,1.0,26184240810,6,"1,283,682,028",1.17,0.88,0.55
8,cardano,ada,0.288537,10111671525,9,"122,891,125",3.09,0.02,-21.56
9,solana,sol,24.26,9854022747,10,"270,649,562",259.96,0.5,0.55
12,polkadot,dot,4.98,6286284832,13,"76,167,925",54.98,2.7,-21.22
20,dai,dai,1.001,3994352765,21,"59,301,299",1.22,0.88,0.32
26,monero,xmr,158.63,2878313827,27,"73,552,284",542.33,0.22,-7.9
63,decentraland,mana,0.365082,672531612,64,"51,712,916",5.85,0.01,-46.64
